Date, Open, High, Low, Close, Volume,Company
02/02/2021,135.75,136.75,134,136.25,1200,WTK
02/01/2021,135.75,135.75,135.75,135.75,200,WTK
01/29/2021,137,137,137,137,700,WTK
01/26/2021,137,137,137,137,400,WTK
01/25/2021,130.5,130.5,128,130,1700,WTK
01/22/2021,132,139.75,130.5,132,1000,WTK
01/20/2021,130.5,130.5,130.5,130.5,100,WTK
01/18/2021,130,130,130,130,1100,WTK
01/15/2021,133,133,133,133,500,WTK
01/13/2021,130,143,130,130.5,3400,WTK
01/12/2021,130,130,130,130,1500,WTK
01/11/2021,130,130,130,130,2200,WTK
01/07/2021,128,128,128,128,100,WTK
01/06/2021,130,130,127.5,128.25,1000,WTK
01/05/2021,130,130,130,130,100,WTK
01/04/2021,130,130,127.5,129.75,3200,WTK
12/31/2020,135,135,130,130.25,4200,WTK
12/30/2020,131,131,130,130.25,3100,WTK
12/29/2020,130,130,130,130,400,WTK
12/28/2020,130,130,130,130,500,WTK
12/24/2020,130,130,130,130,500,WTK
12/23/2020,131,131,131,131,100,WTK
12/22/2020,135,135,130,131.25,1300,WTK
12/21/2020,135,135,135,135,200,WTK
12/18/2020,130,130,130,130,500,WTK
12/17/2020,130,130,130,130,1300,WTK
12/16/2020,130,130,130,130,1600,WTK
12/15/2020,130,135,130,130.75,800,WTK
12/14/2020,130,135,129,130.75,1400,WTK
12/10/2020,133,135,130,132,2300,WTK
12/09/2020,132,132,132,132,500,WTK
12/08/2020,130,130,130,130,400,WTK
12/07/2020,131,131,130,130.5,600,WTK
12/04/2020,131,131,131,131,4700,WTK
12/03/2020,131,131,130,131,4500,WTK
11/30/2020,130.25,130.25,130.25,130.25,1000,WTK
11/24/2020,129,129,128.5,128.5,500,WTK
11/23/2020,130,130,130,130,100,WTK
11/20/2020,129.5,129.5,129.5,129.5,100,WTK
11/19/2020,130,130,129,129.5,300,WTK
11/18/2020,129.5,129.5,129.5,129.5,100,WTK
11/17/2020,125,130,125,129.5,3600,WTK
11/13/2020,131,131,129,129.75,1100,WTK
11/12/2020,130,130,130,130,400,WTK
11/11/2020,130,130,130,130,100,WTK
11/10/2020,130,130,130,130,500,WTK
11/09/2020,130,130,130,130,100,WTK
11/06/2020,135,135,130,132.5,600,WTK
11/05/2020,130,130,129.75,130,500,WTK
11/04/2020,133,133,133,133,2100,WTK
11/03/2020,135,135,133,133.75,900,WTK
11/02/2020,137,137,136,136.25,1700,WTK
10/29/2020,136.5,136.5,136.5,136.5,100,WTK
10/28/2020,136.5,136.5,136.5,136.5,100,WTK
10/27/2020,139,139,139,139,700,WTK
10/23/2020,137,137,137,137,100,WTK
10/21/2020,137,139,137,137.5,1300,WTK
10/19/2020,139,139,139,139,400,WTK
10/14/2020,140,140,140,140,500,WTK
10/13/2020,140,140,140,140,1000,WTK
10/12/2020,139,140,139,140,2600,WTK
10/07/2020,130,140,130,138.5,3200,WTK
10/05/2020,140,140,139,139.75,2800,WTK
10/02/2020,130,130,130,130,1300,WTK
10/01/2020,130,139,130,131.75,8000,WTK
09/30/2020,130,130,130,130,300,WTK
09/29/2020,130,130,126,128.25,1100,WTK
09/28/2020,130,130,125,127,2500,WTK
09/25/2020,125,130,125,127.5,200,WTK
09/24/2020,130,130,130,130,500,WTK
09/23/2020,130,130,130,130,900,WTK
09/22/2020,129,129,125,126.75,700,WTK
09/18/2020,129,129,129,129,100,WTK
09/17/2020,129,129,129,129,300,WTK
09/16/2020,129,129,129,129,300,WTK
09/15/2020,129,129,129,129,100,WTK
09/14/2020,120,120,120,120,600,WTK
09/11/2020,120,120,119,119.75,4700,WTK
09/10/2020,121,121,120,120.25,9000,WTK
09/08/2020,123,123,123,123,800,WTK
09/07/2020,125,125,125,125,1300,WTK
09/03/2020,121,121,120,120,2100,WTK
09/02/2020,120,120,120,120,600,WTK
09/01/2020,120,120,120,120,100,WTK
08/31/2020,124,124,120,120.75,3800,WTK
08/28/2020,124,124,124,124,100,WTK
08/27/2020,124,124,124,124,100,WTK
08/26/2020,124,124,122,123,400,WTK
08/25/2020,124,124,123,123.5,700,WTK
08/24/2020,128,128,128,128,100,WTK
08/21/2020,130,130,125,128.25,300,WTK
08/19/2020,130,137.75,130,132.25,1000,WTK
08/18/2020,144,144,143.75,144,5100,WTK
08/17/2020,143,144.25,142,143.75,8200,WTK
08/14/2020,143,146,143,144,3700,WTK
08/13/2020,146,146,143,144,2100,WTK
08/12/2020,144,144,144,144,7000,WTK
08/10/2020,143,143,142,142.25,4500,WTK
08/07/2020,143,144,142.25,143,1300,WTK
08/05/2020,143,143,140,142,2600,WTK
08/04/2020,143,143,142,143,3000,WTK
08/03/2020,144,144,143,143,1900,WTK
07/30/2020,144,145,144,144.25,2700,WTK
07/29/2020,144,145,144,144,3400,WTK
07/28/2020,144,144,144,144,600,WTK
07/27/2020,146,146,144,144.75,2500,WTK
07/23/2020,147,147,145,145,9000,WTK
07/22/2020,143.25,147.5,143.25,145.5,600,WTK
07/21/2020,143.25,148,143.25,147.5,3500,WTK
07/20/2020,150,150,140,143.25,7600,WTK
07/17/2020,132,141,132,137,2300,WTK
07/15/2020,129,129,128,128.25,600,WTK
07/14/2020,130,130,130,130,100,WTK
07/09/2020,130,130,127,128.25,1600,WTK
07/08/2020,130.25,130.25,130.25,130.25,300,WTK
07/07/2020,130,132,130,130.25,1400,WTK
07/06/2020,130,130,130,130,1400,WTK
07/03/2020,135,135,130,130.25,2300,WTK
07/02/2020,130,130,130,130,3900,WTK
07/01/2020,130,130,130,130,400,WTK
06/30/2020,130,130,130,130,600,WTK
06/29/2020,130,130,130,130,1100,WTK
06/26/2020,130,132,130,131.5,2000,WTK
06/24/2020,130,130,130,130,200,WTK
06/22/2020,121,121,121,121,600,WTK
06/19/2020,121,121,121,121,1300,WTK
06/18/2020,121,121,121,121,200,WTK
06/17/2020,122,122,121,121,8200,WTK
06/16/2020,132,132,132,132,300,WTK
06/12/2020,120,132,120,121,3200,WTK
06/11/2020,120,120,120,120,6400,WTK
06/09/2020,120,120,120,120,2900,WTK
06/08/2020,120,120,120,120,6200,WTK
06/05/2020,120,120,120,120,700,WTK
06/04/2020,123,123,120,120,5100,WTK
06/03/2020,120,123,119,120.5,500,WTK
06/02/2020,124,124,124,124,200,WTK
05/27/2020,120,120,120,120,800,WTK
05/26/2020,119,120,119,120,6500,WTK
05/22/2020,119,119,119,119,2500,WTK
05/21/2020,120,120,120,120,1000,WTK
05/20/2020,115,118,115,117.75,2100,WTK
05/19/2020,118,118,115,117.75,6000,WTK
05/18/2020,118,120,118,118,2300,WTK
05/15/2020,115,115,115,115,1800,WTK
05/14/2020,118,118,118,118,600,WTK
05/13/2020,115,115,115,115,2600,WTK
05/12/2020,115,115,115,115,2000,WTK
05/07/2020,116,116,115,115,2300,WTK
